phy_label	label
S000000001	H1
S000000002	H2
S000000003	H3
S000000004	H4
S000000005	H5
S000000006	H6
S000000007	H7
S000000008	H8
S000000009	H9
S000000010	H10
S000000011	H11
S000000012	H12
S000000013	H13
S000000014	H14
S000000015	H15
S000000016	H16
S000000017	H17
S000000018	H18
S000000019	H19
S000000020	H20
S000000021	H21
S000000022	H22
S000000023	H23
S000000024	H24
S000000025	H25
S000000026	H26
S000000027	H27
S000000028	H28
S000000029	H29
S000000030	H30
S000000031	H31
S000000032	H32
S000000033	H33
S000000034	H34
S000000035	H35
S000000036	H36
S000000037	H37
S000000038	H38
S000000039	H39
S000000040	H40
S000000041	H41
S000000042	H42
S000000043	H43
S000000044	H44
S000000045	H45
S000000046	H46
S000000047	H47
S000000048	H48
S000000049	Altai
S000000050	Chagyr
S000000051	Vindija
S000000052	Denisova
S000000053	Denisova25
S000000054	Ancestral
