method	genome_build	locus_id	hap_id	sample	haplotype
phyml	GRCh37	rs6525167	H1	HG00108	1
phyml	GRCh37	rs6525167	H1	HG00116	1
phyml	GRCh37	rs6525167	H1	HG00256	1
phyml	GRCh37	rs6525167	H1	HG00403	1
phyml	GRCh37	rs6525167	H1	HG00530	1
phyml	GRCh37	rs6525167	H1	HG00613	1
phyml	GRCh37	rs6525167	H1	HG00619	1
phyml	GRCh37	rs6525167	H1	HG00881	1
phyml	GRCh37	rs6525167	H1	HG01085	1
phyml	GRCh37	rs6525167	H1	HG01259	1
phyml	GRCh37	rs6525167	H1	HG01398	1
phyml	GRCh37	rs6525167	H1	HG01440	1
phyml	GRCh37	rs6525167	H1	HG01527	1
phyml	GRCh37	rs6525167	H1	HG01860	1
phyml	GRCh37	rs6525167	H1	HG02058	1
phyml	GRCh37	rs6525167	H1	HG02360	1
phyml	GRCh37	rs6525167	H1	HG02409	1
phyml	GRCh37	rs6525167	H1	HG02654	1
phyml	GRCh37	rs6525167	H1	HG03228	1
phyml	GRCh37	rs6525167	H1	HG03711	1
phyml	GRCh37	rs6525167	H1	HG03716	1
phyml	GRCh37	rs6525167	H1	HG03900	1
phyml	GRCh37	rs6525167	H1	HG03965	1
phyml	GRCh37	rs6525167	H1	NA07357	1
phyml	GRCh37	rs6525167	H1	NA12347	1
phyml	GRCh37	rs6525167	H1	NA18530	1
phyml	GRCh37	rs6525167	H1	NA18632	1
phyml	GRCh37	rs6525167	H1	NA18943	1
phyml	GRCh37	rs6525167	H1	NA18989	1
phyml	GRCh37	rs6525167	H1	NA19072	1
phyml	GRCh37	rs6525167	H1	NA19834	1
phyml	GRCh37	rs6525167	H1	NA20850	1
phyml	GRCh37	rs6525167	H1	NA20867	1
phyml	GRCh37	rs6525167	H2	HG00436	1
phyml	GRCh37	rs6525167	H2	HG00589	1
phyml	GRCh37	rs6525167	H2	HG00610	1
phyml	GRCh37	rs6525167	H2	HG00631	1
phyml	GRCh37	rs6525167	H2	HG00671	1
phyml	GRCh37	rs6525167	H2	HG00704	1
phyml	GRCh37	rs6525167	H2	HG01512	1
phyml	GRCh37	rs6525167	H2	HG02382	1
phyml	GRCh37	rs6525167	H2	HG02394	1
phyml	GRCh37	rs6525167	H2	HG02603	1
phyml	GRCh37	rs6525167	H2	HG03702	1
phyml	GRCh37	rs6525167	H2	HG03854	1
phyml	GRCh37	rs6525167	H2	HG03917	1
phyml	GRCh37	rs6525167	H2	HG04239	1
phyml	GRCh37	rs6525167	H2	NA18633	1
phyml	GRCh37	rs6525167	H2	NA18745	1
phyml	GRCh37	rs6525167	H2	NA19009	1
phyml	GRCh37	rs6525167	H2	NA19012	1
phyml	GRCh37	rs6525167	H2	NA19075	1
phyml	GRCh37	rs6525167	H2	NA19083	1
phyml	GRCh37	rs6525167	H2	NA20298	1
phyml	GRCh37	rs6525167	H2	NA20532	1
