population	super_population	longitude	latitude	label_x	label_y
CEU	EUR	-111.9	40.8	-128	56
ASW	AFR	-112.1	33.4	-139	27
MXL	AMR	-118.2	34.1	-130	3
CLM	AMR	-75.6	6.2	-110	-17
PEL	AMR	-77.0	-12.0	-89	-40
PUR	AMR	-66.1	18.5	-62	31
ACB	AFR	-59.6	13.1	-39	23
GBR	EUR	-1.5	53.0	-22	68
FIN	EUR	25.0	64.0	38	77
IBS	EUR	-3.7	40.4	-25	43
TSI	EUR	11.3	43.8	21	53
GWD	AFR	-16.0	13.4	-43	-4
MSL	AFR	-11.8	8.5	-30	-22
YRI	AFR	3.9	7.4	-5	-29
ESN	AFR	7.5	6.5	17	-18
LWK	AFR	34.8	0.6	43	-31
PJL	SAS	74.3	31.5	59	38
GIH	SAS	72.6	23.0	58	14
STU	SAS	80.0	9.7	64	-17
ITU	SAS	80.6	16.5	86	-4
BEB	SAS	90.4	23.8	93	21
CHB	EAS	116.4	39.9	107	54
JPT	EAS	139.7	35.7	151	47
CHS	EAS	113.3	23.1	132	21
CDX	EAS	100.8	22.0	110	-13
KHV	EAS	106.7	10.8	144	-8
