polygon	longitude	latitude
0	-67.75	-53.85
0	-66.45	-54.45
0	-65.05	-54.7
0	-65.5	-55.2
0	-66.45	-55.25
0	-66.9599	-54.8968
0	-67.291	-55.3012
0	-68.1486	-55.6118
0	-69.2321	-55.4991
0	-69.9581	-55.1984
0	-71.0057	-55.0538
0	-72.2639	-54.4951
0	-73.2852	-53.9575
0	-74.6625	-52.8375
0	-73.8381	-53.0474
0	-72.4342	-53.7154
0	-71.1077	-54.0743
0	-70.5918	-53.6158
0	-70.2675	-52.9312
0	-69.3457	-52.5183
0	-68.6341	-52.6362
0	-68.634	-52.6364
0	-68.25	-53.1
0	-67.75	-53.85
1	-58.55	-51.1
1	-57.75	-51.55
1	-58.05	-51.9
1	-59.4	-52.2
1	-59.85	-51.85
1	-60.7	-52.3
1	-61.2	-51.85
1	-60	-51.25
1	-59.15	-51.5
1	-58.55	-51.1
2	70.28	-49.71
2	68.745	-49.775
2	68.72	-49.2425
2	68.8675	-48.83
2	68.935	-48.625
2	69.58	-48.94
2	70.525	-49.065
2	70.56	-49.255
2	70.28	-49.71
3	145.398	-40.7925
3	146.3641	-41.1377
3	146.9086	-41.0005
3	147.6893	-40.8083
3	148.2891	-40.8754
3	148.3599	-42.0624
3	148.0173	-42.407
3	147.9141	-43.2115
3	147.5646	-42.9377
3	146.8703	-43.6346
3	146.6633	-43.5809
3	146.0484	-43.5497
3	145.4319	-42.6938
3	145.2951	-42.0336
3	144.7181	-41.1626
3	144.7438	-40.704
3	145.398	-40.7925
4	173.0204	-40.9191
4	173.2472	-41.332
4	173.9584	-40.9267
4	174.2476	-41.3492
4	174.2485	-41.77
4	173.8764	-42.2332
4	173.2227	-42.97
4	172.7112	-43.3723
4	173.0801	-43.8533
4	172.3086	-43.8657
4	171.4529	-44.2425
4	171.1851	-44.8971
4	170.6167	-45.9089
4	169.8314	-46.3558
4	169.3323	-46.6412
4	168.4114	-46.6199
4	167.7637	-46.2902
4	166.6769	-46.2199
4	166.5091	-45.8527
4	167.0464	-45.1109
4	168.3038	-44.124
4	168.9494	-43.9358
4	169.6678	-43.5553
4	170.5249	-43.0317
4	171.1251	-42.5128
4	171.5697	-41.7674
4	171.9487	-41.5144
4	172.0972	-40.9561
4	172.7986	-40.494
4	173.0204	-40.9191
5	174.612	-36.1564
5	175.3366	-37.2091
5	175.3576	-36.5262
5	175.8089	-36.7989
5	175.9585	-37.5554
5	176.7632	-37.8813
5	177.4388	-37.9612
5	178.0104	-37.5798
5	178.5171	-37.6954
5	178.2747	-38.5828
5	177.9705	-39.1663
5	177.207	-39.1458
5	176.94	-39.4497
5	177.0329	-39.8799
5	176.8858	-40.066
5	176.508	-40.6048
5	176.0124	-41.2896
5	175.2396	-41.6883
5	175.0679	-41.4259
5	174.651	-41.2818
5	175.2276	-40.4592
5	174.9002	-39.9089
5	173.824	-39.5089
5	173.8523	-39.1466
5	174.5748	-38.7977
5	174.7435	-38.0278
5	174.697	-37.3811
5	174.292	-36.7111
5	174.319	-36.5348
5	173.841	-36.122
5	173.0542	-35.2371
5	172.636	-34.5291
5	173.007	-34.4507
5	173.5513	-35.0062
5	174.3294	-35.2655
5	174.612	-36.1564
6	167.12	-22.16
6	166.74	-22.4
6	166.1897	-22.1297
6	165.4744	-21.6796
6	164.8298	-21.1498
6	164.168	-20.4447
6	164.0296	-20.1056
6	164.46	-20.12
6	165.02	-20.46
6	165.46	-20.8
6	165.78	-21.08
6	166.6	-21.7
6	167.12	-22.16
7	178.3736	-17.3399
7	178.7181	-17.6285
7	178.5527	-18.1506
7	177.9327	-18.288
7	177.3815	-18.1643
7	177.285	-17.7247
7	177.6709	-17.3811
7	178.1256	-17.5048
7	178.3736	-17.3399
8	179.3641	-16.8014
8	178.7251	-17.012
8	178.5968	-16.6392
8	179.0966	-16.434
8	179.4135	-16.3791
8	180	-16.0671
8	180	-16.5552
8	179.3641	-16.8014
9	-179.9174	-16.5018
9	-180	-16.5552
9	-180	-16.0671
9	-179.7933	-16.0209
9	-179.9174	-16.5018
10	167.8449	-16.4663
10	167.5152	-16.5979
10	167.18	-16.16
10	167.2168	-15.8918
10	167.8449	-16.4663
11	167.1077	-14.9339
11	167.27	-15.74
11	167.0012	-15.6146
11	166.7932	-15.6688
11	166.6499	-15.3927
11	166.6291	-14.6265
11	167.1077	-14.9339
12	50.0565	-13.5558
12	50.2174	-14.7588
12	50.4765	-15.2265
12	50.3771	-15.7061
12	50.2003	-16.0003
12	49.8606	-15.4143
12	49.6726	-15.7102
12	49.8633	-16.451
12	49.7746	-16.875
12	49.4986	-17.106
12	49.4356	-17.9531
12	49.0418	-19.1188
12	48.5485	-20.4969
12	47.9307	-22.3915
12	47.5477	-23.782
12	47.0958	-24.9416
12	46.2825	-25.1785
12	45.4095	-25.6014
12	44.8336	-25.3461
12	44.0397	-24.9883
12	43.7638	-24.4607
12	43.6978	-23.5741
12	43.3457	-22.7769
12	43.2542	-22.0574
12	43.4333	-21.3365
12	43.8937	-21.1633
12	43.8964	-20.8305
12	44.3743	-20.0724
12	44.4644	-19.4355
12	44.2324	-18.962
12	44.043	-18.3314
12	43.9631	-17.4099
12	44.3125	-16.8505
12	44.4465	-16.2162
12	44.9449	-16.1794
12	45.5027	-15.9744
12	45.873	-15.7935
12	46.3122	-15.78
12	46.8822	-15.2102
12	47.7051	-14.5943
12	48.0052	-14.0912
12	47.869	-13.6639
12	48.2938	-13.7841
12	48.8451	-13.0892
12	48.8635	-12.4879
12	49.1947	-12.0406
12	49.5435	-12.4698
12	49.809	-12.8953
12	50.0565	-13.5558
13	143.5618	-13.7637
13	143.9221	-14.5483
13	144.5637	-14.1712
13	144.8949	-14.5945
13	145.3747	-14.985
13	145.272	-15.4282
