gene,cell_type,source,source_version
TNMD,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SEMA3G,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC9A3R2,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NRP1,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MEOX2,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
KIF25,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TCF15,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
F2RL3,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD36,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PML,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ADAMTS18,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TIMP4,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD300LG,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RBP7,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
INHBB,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BTNL9,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD320,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ATOH8,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FABP4,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
OR10V1,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FAM241A,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
APOLD1,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CLDN5,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NOTCH4,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SPAAR,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
C1QTNF9,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SHANK3,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GPIHBP1,Adipocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ITGA3,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GPRC5A,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CEACAM6,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
UNC13D,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CAV2,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
DVL1,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SPOCK2,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CDR2L,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PLXNA1,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MATN3,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
POGK,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
WNT3A,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ALPP,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MS4A15,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BCL9L,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
AGER,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
EMP2,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GGTLC3,Alveolar cells type 1,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
