Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
GLA	GLA	cis-position, cis-gene	44582	146	44436	3.78e-277	-2.846379067	-3.00210125	-2.690656883	0.079449395	rec	InflammationII	GLA:P06280:OID30594:v1:InflammationII	1.2617E-294	-2.822375456	X	101393273	101408012
CFHR5	CFHR5	cis-position, cis-gene	45148	283	44865	3.96e-226	-1.878701586	-1.992747724	-1.764655448	0.058186314	rec	InflammationII	CFHR5:Q9BXR6:OID30716:v1:InflammationII	2.2631E-235	-1.878734146	1	196975010	197009678
PHYKPL	PHYKPL	cis-position, cis-gene	44654	282	44372	1.74e-213	-1.825722981	-1.939849236	-1.711596726	0.058227172	flexdmg	InflammationII	PHYKPL:Q8IUZ5:OID30634:v1:InflammationII	3.5087E-236	-1.84218491	5	178208471	178232802
NAGPA	NAGPA	cis-position, cis-gene	44654	158	44496	4.61e-211	-2.40132249	-2.552307165	-2.250337816	0.077032324	flexdmg	InflammationII	NAGPA:Q9UK23:OID30643:v1:InflammationII	1.7712E-225	-2.376469496	16	5024844	5034141
F11	F11	cis-position, cis-gene	45109	316	44793	1.03e-199	-1.623667911	-1.728683283	-1.518652538	0.053578818	flexdmg	InflammationII	F11:P03951:OID30773:v1:InflammationII	1.0605E-218	-1.593052337	4	186266189	186289681
AOC3	AOC3	cis-position, cis-gene	45433	162	45271	6.53e-190	-2.178115913	-2.322662759	-2.033569067	0.07374778	flexdmg	Cardiometabolic	AOC3:Q16853:OID20389:v1:Cardiometabolic	1.2322E-198	-2.129542347	17	42851184	42858130
CFI	CFI	cis-position, cis-gene	45680	304	45376	1.41e-189	-1.628831468	-1.737025797	-1.520637138	0.05520074	flexdmg	InflammationII	CFI:P05156:OID30772:v1:InflammationII	1.6745E-197	-1.620099809	4	109731008	109802150
SGSH	SGSH	cis-position, cis-gene	44876	442	44434	2e-181	-1.349146482	-1.440788697	-1.257504266	0.04675583	flexdmg	CardiometabolicII	SGSH:P51688:OID30341:v1:CardiometabolicII	4.6777E-188	-1.318711152	17	80206716	80220923
GRHPR	GRHPR	cis-position, cis-gene	45616	421	45195	5.38e-180	-1.367208489	-1.46046009	-1.273956887	0.047576959	flexdmg	CardiometabolicII	GRHPR:Q9UBQ7:OID30289:v1:CardiometabolicII	1.1964E-188	-1.363980055	9	37422666	37436990
CEACAM1	CEACAM1	cis-position, cis-gene	45317	145	45172	8.4e-178	-2.234068942	-2.387397524	-2.080740359	0.078228216	rec	Oncology	CEACAM1:P13688:OID21528:v1:Oncology	5.212E-171	-2.205594539	19	42507304	42561234
