argv	--vcf-dir	PREPARED_TARGET_VCF_DIR	--archaic-root	/mnt/d/data.BIG/refGen/archaic/37/vcf	--out	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412	--match-helper	/mnt/d/scripts/gu/../0f/0phe.f.sh	--build	37	--chr-window-bp	500000	--jobs	1	--refs	Altai\ Chagyr\ Vindija\ Denisova\ Denisova25	--min-mac	2	--min-compared	2	--min-prop	0.8	--ld-r2	0.98	--min-ld-sites	2	--region-mode	core	--sample-file	/mnt/d/data.BIG/refGen/1kg/37/samples.txt	--flat-locus-dir	--loci	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.analysis.bed	--loci-map	/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.map.tsv
requested_region_mode	core
archaic_refs_source	auto_detect_local_reference_directories
script\t/mnt/d/scripts/gu/f/phyml.py:798:1788603867
script\t/mnt/d/scripts/gu/f/phyml_anchor.py:22204:1788603867
script\t/mnt/d/scripts/gu/f/phyml_core.py:40025:1788603992
script\t/mnt/d/scripts/gu/f/phyml_evidence.py:101187:1788603867
script\t/mnt/d/scripts/gu/f/phyml_layered_plot.py:12223:1788603867
script\t/mnt/d/scripts/gu/f/phyml_region_scan.py:59851:1788603867
script\t/mnt/d/scripts/gu/f/phyml_tree_summary.py:14175:1788603868
script\t/mnt/d/scripts/gu/f/comm.py:3724:1788603992
script\t/mnt/d/scripts/gu/f/phyml.tree_plot.R:12385:1788603867
script\t/mnt/d/scripts/gu/../0f/0phe.f.sh:54784:1788237127
input\t/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.analysis.bed:28:1788608794
input\t/mnt/d/analysis/gu/phyml/1kg/chr19_rs7412/request.loci.map.tsv:123:1788608794
input\t/mnt/d/data.BIG/refGen/1kg/37/samples.txt:57720:1787477532
target	chr19	schema	4
target	chr19	format	pfile
target	chr19	chromosome	19
target	chr19	x_mode	diploid
target	chr19	pgen\t/mnt/d/data.BIG/refGen/1kg/37/pfile/chr19.pgen:151260334:1787791188
target	chr19	pvar\t/mnt/d/data.BIG/refGen/1kg/37/pfile/chr19.pvar.zst:45660532:1787791180
target	chr19	psam\t/mnt/d/data.BIG/refGen/1kg/37/pfile/chr19.psam:45085:1787791179
target	chr19	loci_content	3943541032 28
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr10_mq25_mapab100.vcf.gz:2507100681:1468582205.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr11_mq25_mapab100.vcf.gz:2530526060:1468582241.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr12_mq25_mapab100.vcf.gz:2501251006:1468582277.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr13_mq25_mapab100.vcf.gz:1947624553:1468582306.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr14_mq25_mapab100.vcf.gz:1718236300:1468582332.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr15_mq25_mapab100.vcf.gz:1497750815:1468582356.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr16_mq25_mapab100.vcf.gz:1388196990:1468582376.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr17_mq25_mapab100.vcf.gz:1352265243:1468582395.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr18_mq25_mapab100.vcf.gz:1536341966:1468582419.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr19_mq25_mapab100.vcf.gz:810761279:1468582431.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr1_mq25_mapab100.vcf.gz:4263134652:1468582495.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr20_mq25_mapab100.vcf.gz:1188555265:1468582512.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr21_mq25_mapab100.vcf.gz:665210641:1468582522.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr22_mq25_mapab100.vcf.gz:607884731:1468582531.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr2_mq25_mapab100.vcf.gz:4726631320:1468582603.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr3_mq25_mapab100.vcf.gz:3887330874:1468582668.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr4_mq25_mapab100.vcf.gz:3697641352:1468582720.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr5_mq25_mapab100.vcf.gz:3481786717:1468582773.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr6_mq25_mapab100.vcf.gz:3315544387:1468582823.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr7_mq25_mapab100.vcf.gz:2854709508:1468582868.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr8_mq25_mapab100.vcf.gz:2850497793:1468582911.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chr9_mq25_mapab100.vcf.gz:2143738789:1468582943.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Altai/chrX_mq25_mapab100.vcf.gz:2527399597:1468582981.0000000000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr1.noRB.vcf.gz:3712790148:1777796923.6944967000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr10.noRB.vcf.gz:2194784758:1777796877.3109036000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr11.noRB.vcf.gz:2216942542:1777796878.3761006000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr12.noRB.vcf.gz:2184986634:1777796877.2578370000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr13.noRB.vcf.gz:1688622056:1777797052.8629979000
input	/mnt/d/data.BIG/refGen/archaic/37/vcf/Chagyr/chr14.noRB.vcf.gz:1490203204:1777797047.1548460000
